"","PRJNA701395:dmso:0ug_mL:PA14","PRJNA701395:lomefloxacin:0.3ug_mL:PA14","PRJNA701395:novobiocin:213ug_mL:PA14"
"PA14_00010",14.8709,162.7768,429.9729
"PA14_00020",0.84,0.4335,15.2695
"PA14_00030",-0.327,6.3226,12.4618
"PA14_00050",-2.4565,43.2424,129.519
"PA14_00060",-1.9055,13.4237,-91.0362
"PA14_00070",-0.4874,19.3776,-20.4215
"PA14_00080",-0.001,3.7996,-18.5417
"PA14_00090",-0.312,3.3623,-1.4554
"PA14_00100",-0.0907,3.0014,-0.8953
"PA14_00110",0.0378,1.269,-9.5323
"PA14_00120",-1.8982,1.3176,-6.6748
"PA14_00130",-0.5072,-1.7982,-10.1379
"PA14_00140",2.2208,-2.8596,-22.9064
"PA14_00150",0.2017,0.9421,-1.7724
"PA14_00160",0.1041,0.7719,2.6905
"PA14_00170",-6.3886,27.1355,163.5461
"PA14_00180",0.8778,6.7654,21.3082
"PA14_00190",-1.9639,33.4296,77.8898
"PA14_00200",-62.2765,500,500
"PA14_00210",-2.3816,10.9332,22.9056
"PA14_00230",-0.52,14.7375,-1.265
"PA14_00240",0.7204,27.1239,6.3495
"PA14_00250",0.0538,-0.041,-3.6651
"PA14_00280",0.0265,3.8641,3.9958
"PA14_00290",0.8964,13.868,22.7889
"PA14_00300",-0.0733,-5.3247,-4.6858
"PA14_00310",-0.1658,-5.922,-10.5738
"PA14_00320",-2.7498,-5.9093,-11.4128
"PA14_00340",0.8506,5.7376,0.6875
"PA14_00360",0.7136,-0.3858,-0.8257
"PA14_00380",-0.559,3.0195,1.9926
"PA14_00400",2.3887,5.0807,-2.1233
"PA14_00410",0.0781,3.5627,4.4429
"PA14_00420",-0.1733,7.3879,22.4451
"PA14_00430",-0.0886,1.7224,6.8338
"PA14_00440",-0.3384,1.5386,18.5615
"PA14_00450",-0.4164,7.068,25.3189
"PA14_00460",0.5774,1.4163,13.11
"PA14_00470",-0.0684,5.0992,1.8142
"PA14_00480",0.9928,0.5006,1.7424
"PA14_00490",-0.234,16.7274,19.0962
"PA14_00510",0.3302,13.6726,13.4243
"PA14_00520",1.2332,30.5407,35.1411
"PA14_00530",0.0357,3.5646,2.5695
"PA14_00550",0.1779,3.9314,-2.0343
"PA14_00560",0.7696,4.3757,29.0349
"PA14_00570",0.5434,14.3129,14.0122
"PA14_00580",-0.2254,12.3936,11.7745
"PA14_00590",-0.6109,11.119,10.0699
"PA14_00600",-0.4822,4.1549,1.9183
"PA14_00620",-0.4406,3.1146,1.3568
"PA14_00630",-0.5668,6.4062,-24.0754
"PA14_00640",0.2587,-2.5385,-9.483
"PA14_00650",1.2684,-9.1112,-32.5154
"PA14_00660",0.3587,-1.0854,-3.6664
"PA14_00670",-0.1095,-0.8653,-1.4463
"PA14_00680",0.0035,0.0063,-1.8294
"PA14_00690",-3.0912,-27.9656,-34.5455
"PA14_00700",0.9974,-5.3891,-3.8505
"PA14_00710",2.4263,-6.8599,-20.0686
"PA14_00720",0.3082,1.1865,-2.0601
"PA14_00730",0.0574,7.2262,-14.8118
"PA14_00740",0.5843,12.6453,-2.7228
"PA14_00750",2.0369,8.8386,-19.3134
"PA14_00760",-1.1374,57.1636,65.4047
"PA14_00770",1.504,5.4643,10.5213
"PA14_00780",0.2653,4.9883,3.9167
"PA14_00790",-2.7151,33.4722,39.4805
"PA14_00800",-0.1052,1.0982,1.2432
"PA14_00810",-0.1044,24.6559,9.213
"PA14_00820",-6.4636,112.3535,82.2969
"PA14_00830",-0.0612,4.3281,0.8278
"PA14_00850",0.2909,16.8652,13.0339
"PA14_00860",-1.6407,52.886,36.5489
"PA14_00875",-2.1444,44.8939,38.7931
"PA14_00890",1.6749,57.228,40.6845
"PA14_00900",0.4719,30.8245,23.9165
"PA14_00910",-0.0065,5.5511,4.2207
"PA14_00925",0.4357,20.0339,13.6739
"PA14_00940",0.1453,14.354,9.9323
"PA14_00960",0.0917,5.0959,3.9506
"PA14_00970",-0.1478,12.9291,7.8449
"PA14_00980",0.299,7.4459,4.9356
"PA14_00990",0.0935,12.727,5.8075
"PA14_01010",-5.7942,296.1658,182.3327
"PA14_01020",-0.8004,87.5685,59.5308
"PA14_01030",2.3014,84.1941,55.6533
"PA14_01040",0.2224,18.2972,11.7416
"PA14_01060",-0.143,61.7722,44.3641
"PA14_01070",-0.0999,20.9165,14.5725
"PA14_01080",0.0209,8.007,5.6829
"PA14_01100",-0.7983,29.501,20.9972
"PA14_01110",0.0655,5.9612,4.2744
"PA14_01120",-3.7173,131.1964,50.7753
"PA14_01130",-0.0267,7.4769,3.4858
"PA14_01140",0.1479,11.9649,4.1077
"PA14_01150",1.0307,26.5242,6.8099
"PA14_01160",1.3229,41.256,1.6023
"PA14_01170",2.5114,67.8773,16.3225
"PA14_01180",0.0828,19.0544,6.3242
"PA14_01190",-0.1072,10.654,3.1848
"PA14_01200",-0.2057,19.2307,8.972
"PA14_01220",-0.9744,39.2756,15.5103
"PA14_01230",-3.3089,421.9635,197.9717
"PA14_01240",1.8133,7.8467,10.5182
"PA14_01250",0.0156,2.7612,2.9436
"PA14_01270",0.2989,1.4377,-1.5333
"PA14_01290",1.1429,8.2614,-103.4085
"PA14_01300",-1.1196,-4.9377,-17.4638
"PA14_01310",-5.3274,-26.9429,-84.2447
"PA14_01320",-0.7923,-3.3042,-9.618
"PA14_01330",-0.3011,0.2043,-1.7984
"PA14_01340",0.0822,-2.576,-6.4985
"PA14_01350",-3.1724,-16.0466,-38.909
"PA14_01360",-0.1712,-1.8514,-5.5427
"PA14_01380",0.1261,-2.9826,-4.874
"PA14_01390",-0.0683,-0.9564,-1.4576
"PA14_01400",-0.0635,0.3523,-1.3206
"PA14_01410",-0.1296,3.8518,-7.6568
"PA14_01430",-1.5906,11.8616,-26.3175
"PA14_01440",-0.4545,-2.4686,-1.5113
"PA14_01460",-0.2276,2.1192,0.9527
"PA14_01470",-1.0432,-1.7019,-10.4415
"PA14_01480",0.2864,-3.3497,-1.0162
"PA14_01490",0.0115,-2.4506,-16.9434
"PA14_01500",0.0757,1.444,1.7871
"PA14_01510",0.518,-6e-04,1.7428
"PA14_01520",1.0467,12.0542,13.5508
"PA14_01540",-0.2066,23.7804,18.0281
"PA14_01550",-1.6725,0.3129,10.2019
"PA14_01560",-0.9738,4.1701,28.015
"PA14_01580",-0.0302,-1.2259,0.1667
"PA14_01600",-9.2233,14.4055,30.3924
"PA14_01610",-31.7434,334.1126,205.0587
"PA14_01620",-0.1243,5.1949,3.6864
"PA14_01640",-1.0688,4.7597,3.9139
"PA14_01660",3.3574,60.1638,27.2822
"PA14_01670",0.0065,0.5794,-0.1885
"PA14_01680",0.612,4.643,2.8021
"PA14_01690",-0.2442,3.1042,1.3769
"PA14_01710",-3.4587,14.987,27.172
"PA14_01720",-0.148,1.9609,4.1961
"PA14_01730",0.3225,-0.1338,-0.7715
"PA14_01750",-19.2927,183.339,57.2212
"PA14_01760",2.2051,-24.0673,-15.3806
"PA14_01770",-0.2847,-26.3319,-24.1617
"PA14_01780",0.2837,-4.3156,-7.632
"PA14_01790",-2.9945,10.0681,3.1254
"PA14_01800",-0.3099,1.0247,0.6107
"PA14_01810",-0.1237,-0.3798,-2.731
"PA14_01830",-4.093,51.9112,56.4976
"PA14_01840",-0.555,3.283,2.4699
"PA14_01860",-0.2187,1.7016,1.3566
"PA14_01870",-0.8339,2.3452,2.3132
"PA14_01890",-0.1712,1.0904,0.0301
"PA14_01900",-0.1959,-0.2491,-1.008
"PA14_01910",0.9077,-3.6532,-6.2484
"PA14_01930",0.5238,-0.8214,0.6083
"PA14_01940",-0.2463,0.7419,-1.2481
"PA14_01960",2.313,1.6572,-7.3589
"PA14_01970",-2.1839,4.3404,-8.2028
"PA14_01980",4.359,-2.211,-16.3644
"PA14_01990",0.2592,1.1344,4.3193
"PA14_02010",0.2328,2.5411,1.6101
"PA14_02020",-0.9893,4.21,17.7941
"PA14_02030",0.6231,0.3569,-4.2285
"PA14_02050",0.4317,-0.4508,-3.7849
"PA14_02060",0.0968,3.3045,3.9886
"PA14_02070",17.0281,14.5215,33.0092
"PA14_02090",0.0941,0.9794,-8.1463
"PA14_02100",0.3169,1.6205,-6.9041
"PA14_02110",15.1301,-8.2384,55.6805
"PA14_02130",-0.0389,0.7918,1.6727
"PA14_02140",-4.7904,14.9829,18.5536
"PA14_02150",-0.3277,7.7845,4.6863
"PA14_02180",0.6191,-28.7185,-28.2105
"PA14_02190",0.4542,-8.8669,-9.8972
"PA14_02200",-0.2838,-3.29,-6.5093
"PA14_02220",-0.0713,-5.7461,-7.885
"PA14_02230",-4.1105,-52.2318,-77.1489
"PA14_02250",-0.0564,-4.1901,-6.7228
